Species,Guild
BANK SWALLOW,Aerialists
BARN SWALLOW,Aerialists
CHIMNEY SWIFT,Aerialists
CLIFF SWALLOW,Aerialists
COMMON NIGHTHAWK,Aerialists
EASTERN WHIP-POOR-WILL,Aerialists
NORTHERN ROUGH-WINGED SWALLOW,Aerialists
PURPLE MARTIN,Aerialists
RUBY-THROATED HUMMINGBIRD,Aerialists
SWALLOW SP.,Aerialists
TREE SWALLOW,Aerialists
BALTIMORE ORIOLE,Blackbirds
BROWN-HEADED COWBIRD,Blackbirds
BLACKBIRD SP.,Blackbirds
BOBOLINK,Blackbirds
COMMON GRACKLE,Blackbirds
EUROPEAN STARLING,Blackbirds
ORCHARD ORIOLE,Blackbirds
RUSTY BLACKBIRD,Blackbirds
RED-WINGED BLACKBIRD,Blackbirds
MOURNING DOVE,Columbids
ROCK PIGEON,Columbids
AMERICAN CROW,Corvids
BLUE JAY,Corvids
COMMON RAVEN,Corvids
GRAY JAY,Corvids
AMERICAN ROBIN,Forest Birds
BLACK-BILLED CUCKOO,Forest Birds
BELTED KINGFISHER,Forest Birds
BOHEMIAN WAXWING,Forest Birds
BROWN THRASHER,Forest Birds
CEDAR WAXWING,Forest Birds
DOWNY WOODPECKER,Forest Birds
EASTERN BLUEBIRD,Forest Birds
GRAY-CHEEKED THRUSH,Forest Birds
GRAY CATBIRD,Forest Birds
HAIRY WOODPECKER,Forest Birds
HERMIT THRUSH,Forest Birds
NORTHERN FLICKER,Forest Birds
NORTHERN MOCKINGBIRD,Forest Birds
PILEATED WOODPECKER,Forest Birds
RED-BELLIED WOODPECKER,Forest Birds
RED-HEADED WOODPECKER,Forest Birds
SWAINSON'S THRUSH,Forest Birds
VEERY,Forest Birds
WOOD THRUSH,Forest Birds
YELLOW-BILLED CUCKOO,Forest Birds
YELLOW-BELLIED SAPSUCKER,Forest Birds
AMERICAN PIPIT,Grassland Birds
AMERICAN TREE SPARROW,Grassland Birds
CLAY-COLORED SPARROW,Grassland Birds
CHIPPING SPARROW,Grassland Birds
DARK-EYED JUNCO,Grassland Birds
EASTERN MEADOWLARK,Grassland Birds
EASTERN TOWHEE,Grassland Birds
FIELD SPARROW,Grassland Birds
GRASSHOPPER SPARROW,Grassland Birds
HENSLOW'S SPARROW,Grassland Birds
HORNED LARK,Grassland Birds
LAPLAND LONGSPUR,Grassland Birds
LE CONTE'S SPARROW,Grassland Birds
LINCOLN'S SPARROW,Grassland Birds
LOGGERHEAD SHRIKE,Grassland Birds
NORTHERN SHRIKE,Grassland Birds
SAVANNAH SPARROW,Grassland Birds
SNOW BUNTING,Grassland Birds
SONG SPARROW,Grassland Birds
SPARROW SP.,Grassland Birds
SWAMP SPARROW,Grassland Birds
VESPER SPARROW,Grassland Birds
WHITE-CROWNED SPARROW,Grassland Birds
WHITE-THROATED SPARROW,Grassland Birds
BLACK TERN,Gulls/Terns
BONAPARTE'S GULL,Gulls/Terns
CASPIAN TERN,Gulls/Terns
COMMON TERN,Gulls/Terns
GREAT BLACK-BACKED GULL,Gulls/Terns
GULL SP.,Gulls/Terns
HERRING GULL,Gulls/Terns
LESSER BLACK-BACKED GULL,Gulls/Terns
RING-BILLED GULL,Gulls/Terns
SNAKE SP.,Herptides
TURTLE SP.,Herptides
AMERICAN BEAVER,Mammals
MINK,Mammals
MUSKRAT,Mammals
